state,year,office,election_type,date,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2010,Justice of the Supreme Court,General,11/2/2010,Term beginning 1/1/2011,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102justice1.aspx,,html,x,x,,,x
OH,2010,Justice of the Supreme Court,General,11/2/2010,Term beginning 1/1/2011,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102justice1.aspx,,html,x,,,,x
OH,2010,Justice of the Supreme Court,General,11/2/2010,Term beginning 1/2/2011,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102justice2.aspx,,html,x,x,,,x
OH,2010,Justice of the Supreme Court,General,11/2/2010,Term beginning 1/2/2011,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102justice2.aspx,,html,x,,,,x
OH,2010,Ohio Senate,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102osenate.aspx,,html,x,x,,,x
OH,2010,Ohio Senate,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102osenate.aspx,,html,x,,,,x
OH,2010,Ohio House of Representatives,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102ohouse.aspx,,html,x,x,,,x
OH,2010,Ohio House of Representatives,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102ohouse.aspx,,html,x,,,,x
OH,2010,State Board of Education,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102education.aspx,,html,x,x,,,x
OH,2010,State Board of Education,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102education.aspx,,html,x,,,,x
OH,2010,Judge of the Court of Appeals,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102appeals.aspx,,html,x,x,,,x
OH,2010,Judge of the Court of Appeals,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102appeals.aspx,,html,x,,,,x
OH,2010,Judge of the Court of Common Pleas,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102commonpleas.aspx,,html,x,x,,,x
OH,2010,Judge of the Court of Common Pleas,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102commonpleas.aspx,,html,x,,,,x
OH,2010,all,General,11/2/2010,,,Precinct,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2011results/2011precincts.aspx,http://www.sos.state.oh.us/sos/upload/elections/2010/gen/2010precinct.xlsx,xls,x,x,x,x,x
OH,2010,U.S. House,Special Primary,7/13/2010,13,DEM,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20100713USRep-D.aspx,,html,x,x,,,
OH,2010,Governor,Primary,5/4/2010,,DEM,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20100504gov-D.aspx,http://www.sos.state.oh.us/sos/upload/elections/2010/pri/abstract.xlsx,"html,xls",x,x,,,x
